XR,YR,TSS
304296.0,6031011.58,-1.0
304296.0,6031011.67,-1.0
304295.99,6031011.8,-3.0
304295.99,6031011.89,-2.0
304295.98,6031011.98,0.0
304295.97,6031012.12,-2.0
304295.97,6031012.21,-1.0
304295.96,6031012.31,-2.0
304295.94,6031012.45,0.0
304295.93,6031012.54,0.0
304295.91,6031012.64,0.0
304295.89,6031012.79,0.0
304295.88,6031012.88,-1.0
304295.87,6031012.98,-2.0
304295.86,6031013.12,-4.0
304295.86,6031013.22,-2.0
304295.85,6031013.36,1.0
304295.84,6031013.46,0.0
304295.83,6031013.55,0.0
304295.83,6031013.68,-2.0
304295.82,6031013.77,-2.0
304295.82,6031013.86,-13.0
304295.82,6031013.99,2.0
304295.81,6031014.08,1.0
304295.81,6031014.16,-8.0
304295.8,6031014.25,-11.0
304295.79,6031014.38,-6.0
304295.79,6031014.46,-2.0
304295.78,6031014.59,0.0
304295.77,6031014.67,0.0
304295.76,6031014.75,-1.0
304295.75,6031014.87,1.0
304295.74,6031014.95,1.0
304295.73,6031015.04,-2.0
304295.71,6031015.16,-7.0
304295.7,6031015.24,-7.0
304295.69,6031015.32,-6.0
304295.67,6031015.44,-1.0
304295.66,6031015.52,-3.0
304295.64,6031015.6,0.0
304295.63,6031015.72,2.0
304295.61,6031015.8,1.0
304295.6,6031015.88,1.0
304295.59,6031015.96,1.0
304295.57,6031016.09,-2.0
304295.55,6031016.18,-1.0
304295.53,6031016.31,-2.0
304295.52,6031016.41,1.0
304295.51,6031016.5,0.0
304295.49,6031016.64,-2.0
304295.47,6031016.74,-3.0
304295.45,6031016.84,-2.0
304295.43,6031016.98,-2.0
304295.42,6031017.08,-1.0
304295.4,6031017.17,0.0
304295.38,6031017.32,-12.0
304295.37,6031017.42,-8.0
304295.36,6031017.52,-8.0
304295.35,6031017.66,1.0
304295.35,6031017.76,4.0
304295.34,6031017.86,-5.0
304295.34,6031018.01,5.0
304295.34,6031018.11,5.0
304295.33,6031018.21,10.0
304295.33,6031018.35,3.0
304295.33,6031018.44,-1.0
304295.33,6031018.58,-2.0
304295.33,6031018.67,-2.0
304295.34,6031018.77,2.0
304295.34,6031018.86,0.0
304295.34,6031019.0,-4.0
304295.34,6031019.09,-3.0
304295.34,6031019.18,6.0
304295.33,6031019.32,7.0
304295.32,6031019.4,7.0
304295.31,6031019.49,3.0
304295.3,6031019.62,-2.0
304295.28,6031019.71,-3.0
304295.27,6031019.79,-2.0
304295.25,6031019.92,-1.0
304295.24,6031020.0,1.0
304295.22,6031020.09,-1.0
304295.21,6031020.21,-1.0
304295.19,6031020.3,5.0
304295.17,6031020.42,6.0
